,ResponseId,Q12.6,Q12.6_corrected,city
0,R_2dAqH8oUCTPTMfN,Great deal,Great deal,Chicago
1,R_2X1HpxcUtZEpWYk,Goo,Good ,Chicago
2,R_10PI5FKTTlId8Ec,I'm not yo I'm not talking to you ,I'm not yo I'm not talking to you ,Chicago
3,R_1gduid1fizdQ4d8,It is the way it is,It is the way it is,Chicago
4,R_23WCgmyuPAy3b1G,Because it would be more far to people that don't have much,Because it would be more fair to people that don't have much,Chicago
5,R_1pLEMXp5iJbankG,I choose proposal 2 because you offered me better things than proposal 1. ,I choose proposal 2 because you offered me better things than proposal 1. ,Chicago
6,R_w5xohvakFFVFRtL,Mhmmm girl,Mhmmm girl,Chicago
7,R_2OYEXKWutkzQOmS,Because I felt like it wouldn't be good enough for us ,Because I felt like it wouldn't be good enough for us ,Chicago
8,R_2ipd5d0ZqN9yJXj,I don't know,I don't know,Chicago
9,R_1PY5daqTS4xhkV9,no comment,no comment,Chicago
10,R_31BqvvZvSYE4D79,nothing ,nothing ,Chicago
11,R_2PARsq8TJWfXyBF,yes,yes,Chicago
12,R_3TMAvgTKmdib07n,Ttyh,,Chicago
13,R_1igHueID81IXC6c,agree stong,agree strong,Chicago
14,R_1OHrXmj3z0SmdCx,Nothing to say ,Nothing to say ,Chicago
15,R_2D78ZtjvOL2VauO,"I I prefer the lower density idea, but also mixed use with restaurants, cafes,etc. because I think it would draw other people from the surrounding communities more often as opposed to crafts or just apartments. Would also be more beneficial to residents of that neighborhood.","I prefer the lower density idea, but also mixed use with restaurants, cafes, etc. because I think it would draw other people from the surrounding communities more often as opposed to crafts or just apartments. Would also be more beneficial to residents of that neighborhood.",Chicago
16,R_2X0xmvG3K7VniH1,Not sure ,Not sure ,Chicago
17,R_2V7raobzNpXHZ94,Yes,Yes,Chicago
18,R_1pxIniAiPx4MXHu,Whatever one sounds better,Whatever one sounds better,Chicago
19,R_2vbHXR2XJtxJNfq,My positions are better ,My positions are better ,Chicago
20,R_3kHAhwATe1o0N82,This is Good Survey.,This is Good Survey.,Chicago
21,R_cACHPOld7dnejiF,I don't want the density to double!!,I don't want the density to double!!,Chicago
22,R_27mc1IUohDnHLJc,Yo yo bro I don't know why ,Yo yo bro I don't know why ,Chicago
23,R_2t4hIY0ZIHl8qyx,Too many legalities,Too many legalities,Chicago
24,R_2VO92jpKJgZAazx,I like it ,I like it ,Chicago
25,R_1pyvscLvOeh2qGp,"Generally, I didn't agree with the subsidized housing issue.","Generally, I didn't agree with the subsidized housing issue.",Chicago
26,R_PGvxgMYAygMPJ3r,Yes I love you too and miss you,,Chicago
27,R_Z8cr9rghjYW33cR,Had to pick one,Had to pick one,Chicago
28,R_wMfrir8KQUppFJv,Because some are great,Because some are great,Chicago
29,R_1rPpEQy4ETxXZTd,None,None,Chicago
30,R_2XbXCVxQoRtnk77,It's only logical to go by the decisios I made based on what's I feel is healthy for the community.,It's only logical to go by the decisions I made based on what I feel is healthy for the community.,Chicago
31,R_1jPcxcOaQ2W02tA,,,Chicago
32,R_3EG7EcXNqPYlEe7,yes I like,yes I like,Chicago
33,R_2YtzoKjSQCddRxw,,,Chicago
34,R_SNqPHxUhG6D1X3z,don't know ,don't know ,Chicago
35,R_SOW1cR09SiC5IjL,,,Chicago
36,R_0OCvynke1ghnruF,some of them seem to me to be good and others not so good proposals,some of them seem to me to be good and others not so good proposals,Chicago
37,R_26gcl7ascv8Qc6E,yes ,yes ,Chicago
38,R_1PTAuZvn0qO5biJ,None ,None ,Chicago
39,R_3foSCMfz6f6PdCW,I think the 10 percent is to high of a yearly increase,I think the 10 percent is too high of a yearly increase,Chicago
40,R_3DiJ4oxPciFwShu,yes,yes,Chicago
41,R_XsPaEV0UEgjAjNT,because I think it is too good ,because I think it is too good ,Chicago
42,R_1I9FfvfciRYf7xL,I think there should be more affortable housing for seniors.,I think there should be more affordable housing for seniors.,Chicago
43,R_2RVrt5a0u3Lus4q,"I am of the notion of physical interaction but I also want to state that unregulated price increase of rent is mere fraud,give room for the most basic amenities","I am of the notion of physical interaction but I also want to state that unregulated price increase of rent is mere fraud, give room for the most basic amenities",Chicago
