id,doc,frame,minority,linguistic_minority,religious_minority,social_class_minority,sexual_orientation_minority,ethnic_minority,national_minority,other_minority,disabled_minority,age_numerical,income,citizenship,education,political_left_right,exp_housing_discrim,city_district,city_neighborhood,prof_situation,fear_forced_out,seen_landlord_pressure,changes_in_community,seen_renovations,neighborhood_connection,respect_rules,neighbhorhood_crime,env_pollution_impact,climate_concern,age,city,country,preframe_densifproj_acceptance,postframe_densifproj_acceptance,densifproj_on_rent,densifproj_on_social,politics,politics_w_extremes,gender_Female,gender_Male,gender_Non-binary,gender_Prefer not to say,Group.1,imce_RentContr,imce_InclZon,imce_Partic,imce_nonProf,imce_dens,imce_mixUse,imce_ClimNeutr
R_10PI5FKTTlId8Ec,I'm not yo I'm not talking to you ,other district,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,US Naturalization,Master's degree,5.0,No,Southwest Side,West Lawn,Not working (disability/illness),-1,-1,0,-1,-2,1,2,6.0,0,1,Chicago,United States,0,2,2,2,conservative,conservative,1,0,0,0,R_10PI5FKTTlId8Ec,0.18934794243041,-0.681112331013734,-0.315281845602025,0.348761891889898,0.0479826424647083,0.218712292126727,0.122512286038903
R_1gduid1fizdQ4d8,It is the way it is,other district,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,8.0,US Born,Bachelor's degree,6.0,No,North Side,North Center,Employed (full-time),-1,-1,1,2,2,1,1,9.0,2,3,Chicago,United States,2,2,2,2,conservative,conservative,0,1,0,0,R_1gduid1fizdQ4d8,-0.529477239855357,-0.256714297929335,-0.600378731143042,-0.0258704168547466,0.223711459574846,0.246440728878073,-0.216726445065111
R_23WCgmyuPAy3b1G,Because it would be more fair to people that don't have much,other district,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,5.0,US Born,Secondary school certificate,1.0,Yes,"Central, Near North, and Near North Side",Near North Side,Employed (part-time),-2,0,-1,1,1,0,0,9.0,2,1,Chicago,United States,1,0,1,-3,liberal,liberal,1,0,0,0,R_23WCgmyuPAy3b1G,-0.3342486539056,-0.0422352276294619,-0.441565543216009,-0.192129122483031,-0.115328476524701,0.34107322280526,0.206764599185267
R_1pLEMXp5iJbankG,I choose proposal 2 because you offered me better things than proposal 1. ,other district,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,6.0,US Born,Higher technical examination,7.0,No,North Side,Lincoln Park,Employed (full-time),2,2,2,2,2,2,2,10.0,0,3,Chicago,United States,2,2,2,2,conservative,very conservative,0,1,0,0,R_1pLEMXp5iJbankG,0.539111042230371,-0.32212880290234,0.630385522399566,0.2292077133618,0.592402435612316,0.0400679030410886,-0.475605567629552
R_2OYEXKWutkzQOmS,Because I felt like it wouldn't be good enough for us ,other district,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,US Born,Secondary school certificate,1.0,No,West and Near West Side,Near West Side,Employed (part-time),0,1,2,0,-1,-1,-1,8.0,2,1,Chicago,United States,-3,0,0,1,liberal,liberal,1,0,0,0,R_2OYEXKWutkzQOmS,-0.53988799620054,-0.0771080086800548,-0.452228759796382,0.365875400855979,0.0931020531175502,0.178248897603195,0.614161923177823
R_2D78ZtjvOL2VauO,"I prefer the lower density idea, but also mixed use with restaurants, cafes, etc. because I think it would draw other people from the surrounding communities more often as opposed to crafts or just apartments. Would also be more beneficial to residents of that neighborhood.",other district,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,1.0,US Born,Higher education entrance qualification,2.0,No,South Side,Bridgeport,Not employed (unemployed),-2,-1,-1,1,-1,0,-1,4.0,1,5,Chicago,United States,0,0,1,1,liberal,liberal,0,1,0,0,R_2D78ZtjvOL2VauO,0.990099009900989,0.278550317206887,-0.143865254626441,-0.165845377058519,-0.264450033744544,-0.137686446106713,-0.138962533970288
R_1pxIniAiPx4MXHu,Whatever one sounds better,other district,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,2.0,US Born,Secondary school certificate,5.0,No,Southwest Side,Garfield Ridge,Employed (full-time),0,-1,0,0,0,0,0,4.0,1,3,Chicago,United States,0,0,1,0,conservative,conservative,1,0,0,0,R_1pxIniAiPx4MXHu,-0.0519385775112224,-0.325155743822477,-0.0510976881227884,-0.566690600583185,-0.343911416926709,0.448887874650125,0.290652414105501
R_2vbHXR2XJtxJNfq,My positions are better ,other district,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,US Born,Secondary school certificate,4.0,No,South Side,South Shore,Employed (part-time),1,0,0,-1,0,2,1,3.0,0,1,Chicago,United States,-1,-1,0,0,moderate,moderate,1,0,0,0,R_2vbHXR2XJtxJNfq,0.658261778195708,0.249059709723977,-0.654964716159126,-0.221699275697626,-0.276196088024894,-0.540712523958262,-0.026346255054651
R_3kHAhwATe1o0N82,This is Good Survey.,other district,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,46.0,9.0,US Naturalization,Higher technical examination,7.0,No,Northwest Side,Portage Park,Employed (full-time),2,2,2,2,2,2,2,10.0,2,4,Chicago,United States,3,3,3,3,conservative,very conservative,0,1,0,0,R_3kHAhwATe1o0N82,1.11683196756135e-16,0.0,8.83888922698257e-17,9.08492847912459e-17,-1.6034380605106399e-16,1.49027147428943e-16,2.1257644617326799e-16
R_cACHPOld7dnejiF,I don't want the density to double!!,district,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,7.0,US Born,Bachelor's degree,4.0,No,Far North Side,Rogers Park,Not working (other reason),-1,-1,1,0,-1,-1,-1,7.0,1,3,Chicago,United States,0,0,1,1,moderate,moderate,0,1,0,0,R_cACHPOld7dnejiF,-0.726914887548171,0.039883356537142,-0.241000236910915,0.0461117867638615,-0.645025603457285,0.0,-0.024347005923808
